Day,currently_infected_14d
2020-01-04,3.0910488760000003
2020-01-05,2.06069936
2020-01-06,5.1517484
2020-01-07,5.1517484
2020-01-08,6.182097752000001
2020-01-09,6.182097752000001
2020-01-10,6.182097752000001
2020-01-11,6.182097752000001
2020-01-12,48.42643414
2020-01-13,49.456783
2020-01-14,54.6085314
2020-01-15,54.6085314
2020-01-16,54.6085314
2020-01-17,55.63888026
2020-01-18,56.669230924
2020-01-19,139.09720023999998
2020-01-20,216.3734246
2020-01-21,312.19595960000004
2020-01-22,463.65735304799995
2020-01-23,597.602844248
2020-01-24,876.827571448
2020-01-25,1364.1829602480002
2020-01-26,2045.24414186
2020-01-27,2858.189991
2020-01-28,4681.909088599999
2020-01-29,6199.6137146
2020-01-30,8010.968294599999
2020-01-31,10076.81985974
2020-02-01,12254.9784002
2020-02-02,14866.915060399999
2020-02-03,17708.619426999998
2020-02-04,20958.342771999996
2020-02-05,24867.4889692
2020-02-06,28558.200598000003
2020-02-07,31529.7289308
2020-02-08,34546.594342
2020-02-09,36604.200744
2020-02-10,38874.059226
2020-02-11,39599.42852
2020-02-12,40173.333154
2020-02-13,53990.320854000005
2020-02-14,56114.89846
2020-02-15,56677.47831999999
2020-02-16,56086.050039999995
2020-02-17,55289.590599999996
2020-02-18,53905.82912
2020-02-19,51697.792980000006
2020-02-20,48310.003159999986
2020-02-21,46083.417799999996
2020-02-22,43679.612400000005
2020-02-23,41918.74768000001
2020-02-24,39366.57229999999
2020-02-25,37634.55026
2020-02-26,36413.5842
2020-02-27,21907.297119999996
2020-02-28,18954.316399999996
2020-02-29,18080.565400000007
2020-03-01,18041.4268
2020-03-02,17914.695800000016
2020-03-03,17803.413600000014
2020-03-04,18232.043999999994
2020-03-05,20025.88010000001
2020-03-06,21571.4038
2020-03-07,23819.63059999999
2020-03-08,29338.177299999996
2020-03-09,32173.704500000007
2020-03-10,35329.659
2020-03-11,38503.13280000001
2020-03-12,43571.4216
2020-03-13,49280.58960000002
2020-03-14,54947.5276
2020-03-15,83082.2442
2020-03-16,89908.3014
2020-03-17,98726.0402
2020-03-18,108322.70520000003
2020-03-19,120694.12719999999
2020-03-20,135672.321
2020-03-21,153437.60460000002
2020-03-22,238727.8833
2020-03-23,258481.7612
2020-03-24,281844.93059999996
2020-03-25,308714.40359999996
2020-03-26,334747.1896
2020-03-27,366943.58759999997
2020-03-28,405409.63999999996
2020-03-29,538490.556
2020-03-30,574180.8756
2020-03-31,613881.2986
2020-04-01,647232.6993999999
2020-04-02,686241.682
2020-04-03,729382.4478
2020-04-04,770898.318
2020-04-05,842273.7583999999
2020-04-06,880737.7280000001
2020-04-07,909705.9500000002
2020-04-08,940992.558
2020-04-09,974269.7980000001
2020-04-10,1006848.3652000001
2020-04-11,1035736.3420000002
2020-04-12,1020222.3520000001
2020-04-13,1041970.966
2020-04-14,1051010.154
2020-04-15,1064625.27
2020-04-16,1075370.878
2020-04-17,1083727.949
2020-04-18,1097299.8509999998
2020-04-19,1062120.416
2020-04-20,1068909.3600000003
2020-04-21,1079145.9940000002
2020-04-22,1084177.186
2020-04-23,1087574.2
2020-04-24,1090519.9680000003
2020-04-25,1107478.388
2020-04-26,1078520.744
2020-04-27,1090594.2600000002
2020-04-28,1098404.2680000002
2020-04-29,1106635.756
2020-04-30,1115048.464
2020-05-01,1124264.9359999998
2020-05-02,1134335.438
2020-05-03,1118353.9660000005
2020-05-04,1129907.3559999997
2020-05-05,1142049.9159999997
2020-05-06,1149612.776
2020-05-07,1158048.116
2020-05-08,1170780.2559999996
2020-05-09,1169074.0
2020-05-10,1160847.514
2020-05-11,1170817.3199999998
2020-05-12,1176016.366
2020-05-13,1187174.8440000005
2020-05-14,1199794.8900000001
2020-05-15,1207922.5660000006
2020-05-16,1223464.0260000005
2020-05-17,1227583.46
2020-05-18,1244195.512
2020-05-19,1244477.1
2020-05-20,1264166.5299999998
2020-05-21,1290108.0499999998
2020-05-22,1311275.4480000003
2020-05-23,1328165.1520000002
2020-05-24,1346231.7199999997
2020-05-25,1356297.466
2020-05-26,1377730.872
2020-05-27,1389248.5099999988
2020-05-28,1403231.1499999994
2020-05-29,1425540.1519999998
2020-05-30,1445143.3999999994
2020-05-31,1468198.5199999996
2020-06-01,1500539.3199999994
2020-06-02,1531931.954
2020-06-03,1537165.6860000007
2020-06-04,1559160.136
2020-06-05,1578361.9120000005
2020-06-06,1599649.7680000002
2020-06-07,1620198.3940000003
2020-06-08,1648814.999999999
2020-06-09,1665980.7980000004
2020-06-10,1685967.1500000004
2020-06-11,1719483.4200000009
2020-06-12,1753072.5879999995
2020-06-13,1774948.7120000003
2020-06-14,1798231.3000000007
2020-06-15,1803503.4900000012
2020-06-16,1813197.9399999995
2020-06-17,1837873.7079999987
2020-06-18,1897471.5540000005
2020-06-19,1918535.959999999
2020-06-20,1934481.6799999988
2020-06-21,1988928.2859999994
2020-06-22,2018869.5200000014
2020-06-23,2039784.0299999993
2020-06-24,2072484.4000000004
2020-06-25,2114839.039999999
2020-06-26,2154445.040000001
2020-06-27,2198904.1279999996
2020-06-28,2251760.179999999
2020-06-29,2298450.5699999994
2020-06-30,2338893.380000001
2020-07-01,2386265.6000000015
2020-07-02,2387930.200000001
2020-07-03,2453432.620000001
2020-07-04,2526243.700000001
2020-07-05,2559178.1799999997
2020-07-06,2595896.1400000006
2020-07-07,2633193.0200000014
2020-07-08,2668970.4400000013
2020-07-09,2710824.0600000005
2020-07-10,2757696.8999999985
2020-07-11,2795147.9399999995
2020-07-12,2837787.120000001
2020-07-13,2878839.5999999996
2020-07-14,2914753.1400000006
2020-07-15,2937444.179999998
2020-07-16,2984930.379999999
2020-07-17,3017649.1999999993
2020-07-18,3049711.1999999993
2020-07-19,3090572.620000001
2020-07-20,3129853.079999998
2020-07-21,3167632.119999999
2020-07-22,3200435.4000000004
2020-07-23,3234107.880000001
2020-07-24,3299216.700000001
2020-07-25,3359506.380000001
2020-07-26,3414552.9800000004
2020-07-27,3447878.5999999996
2020-07-28,3469081.34
2020-07-29,3504452.8599999994
2020-07-30,3532655.119999999
2020-07-31,3588381.499999998
2020-08-01,3631385.580000002
2020-08-02,3688558.4400000013
2020-08-03,3712203.1400000006
2020-08-04,3729929.9000000004
2020-08-05,3737659.2200000007
2020-08-06,3758190.379999999
2020-08-07,3754758.6799999997
2020-08-08,3750197.84
2020-08-09,3788243.379999997
2020-08-10,3794231.8400000017
2020-08-11,3795361.799999997
2020-08-12,3793136.3200000003
2020-08-13,3819737.120000001
2020-08-14,3804522.0199999996
2020-08-15,3805278.879999999
2020-08-16,3835923.919999998
2020-08-17,3828155.2399999984
2020-08-18,3820595.66
2020-08-19,3828867.0
2020-08-20,3830059.280000001
2020-08-21,3819662.5
2020-08-22,3809521.5599999987
2020-08-23,3820581.7200000025
2020-08-24,3812052.079999998
2020-08-25,3810446.5200000033
2020-08-26,3807160.780000001
2020-08-27,3793707.039999999
2020-08-28,3786235.1999999993
2020-08-29,3769161.16
2020-08-30,3810085.7200000025
2020-08-31,3825822.3400000036
2020-09-01,3824592.34
2020-09-02,3859864.639999997
2020-09-03,3861575.16
2020-09-04,3867847.34
2020-09-05,3882741.0000000037
2020-09-06,3976301.3599999994
2020-09-07,3978622.780000001
2020-09-08,3982365.259999998
2020-09-09,3986018.360000003
2020-09-10,3964627.84
2020-09-11,3969251.0000000037
2020-09-12,3984958.0999999978
2020-09-13,4060050.419999998
2020-09-14,4067808.4399999976
2020-09-15,4087804.960000001
2020-09-16,4077900.1799999997
2020-09-17,4090244.460000001
2020-09-18,4104623.9800000004
2020-09-19,4114043.3199999966
2020-09-20,4174700.3599999994
2020-09-21,4192655.8999999985
2020-09-22,4204427.820000004
2020-09-23,4236045.379999995
2020-09-24,4282215.48
2020-09-25,4292772.16
2020-09-26,4296939.400000006
2020-09-27,4326891.540000003
2020-09-28,4326011.679999996
2020-09-29,4320799.759999994
2020-09-30,4330002.620000001
2020-10-01,4342866.779999994
2020-10-02,4349255.400000002
2020-10-03,4357270.079999998
2020-10-04,4365155.199999999
2020-10-05,4373438.84
2020-10-06,4377582.299999997
2020-10-07,4398444.740000006
2020-10-08,4429302.16
2020-10-09,4457665.140000001
2020-10-10,4491923.1000000015
2020-10-11,4634262.799999997
2020-10-12,4656312.6000000015
2020-10-13,4686647.680000007
2020-10-14,4726318.460000001
2020-10-15,4750742.980000004
2020-10-16,4793172.239999995
2020-10-17,4841440.719999999
2020-10-18,5113610.1999999955
2020-10-19,5145163.8000000045
2020-10-20,5190317.1000000015
2020-10-21,5262994.519999996
2020-10-22,5314187.939999998
2020-10-23,5388422.539999999
2020-10-24,5461765.799999997
2020-10-25,5861527.280000001
2020-10-26,5930764.8000000045
2020-10-27,5982793.799999997
2020-10-28,6078938.799999997
2020-10-29,6185272.299999997
2020-10-30,6277251.700000003
2020-10-31,6376356.080000006
2020-11-01,6817952.320000008
2020-11-02,6896436.159999996
2020-11-03,7033648.3999999985
2020-11-04,7106909.659999996
2020-11-05,7186283.200000003
2020-11-06,7285075.159999996
2020-11-07,7386658.3999999985
2020-11-08,7607899.32
2020-11-09,7699701.6000000015
2020-11-10,7794739.6000000015
2020-11-11,7876676.460000001
2020-11-12,7974746.000000007
2020-11-13,8094121.599999994
2020-11-14,8197548.1999999955
2020-11-15,8146522.880000003
2020-11-16,8248040.520000003
2020-11-17,8261841.120000005
2020-11-18,8322880.280000009
2020-11-19,8415531.259999998
2020-11-20,8479796.300000004
2020-11-21,8544354.079999998
2020-11-22,8407394.399999999
2020-11-23,8451253.739999995
2020-11-24,8483195.199999996
2020-11-25,8500873.580000006
2020-11-26,8516008.319999993
2020-11-27,8557064.080000006
2020-11-28,8536478.799999997
2020-11-29,8379468.479999989
2020-11-30,8374520.6000000015
2020-12-01,8387914.479999989
2020-12-02,8397890.599999994
2020-12-03,8431445.000000007
2020-12-04,8483490.399999999
2020-12-05,8529677.720000006
2020-12-06,8472223.600000009
2020-12-07,8506813.659999996
2020-12-08,8545170.799999997
2020-12-09,8578089.699999996
2020-12-10,8654996.68
2020-12-11,8671185.120000012
2020-12-12,8740724.400000006
2020-12-13,8855840.92000001
2020-12-14,8909299.999999993
2020-12-15,8942747.800000012
2020-12-16,9006863.600000001
2020-12-17,9010824.199999988
2020-12-18,9059319.0
2020-12-19,9106469.0
2020-12-20,9207845.599999994
2020-12-21,9210108.799999997
2020-12-22,9223442.000000015
2020-12-23,9235840.399999991
2020-12-24,9225959.400000006
2020-12-25,9212281.799999982
2020-12-26,9170191.200000003
2020-12-27,8922936.600000009
2020-12-28,8800846.800000012
2020-12-29,8780158.200000003
2020-12-30,8747686.200000003
2020-12-31,8828439.800000012
2021-01-01,8847955.799999997
2021-01-02,8793745.599999994
2021-01-03,8618134.400000006
2021-01-04,8616059.800000012
2021-01-05,8662451.299999982
2021-01-06,8707772.700000018
2021-01-07,8803167.400000006
2021-01-08,8914220.0
2021-01-09,9093873.799999997
2021-01-10,9533672.599999994
2021-01-11,9741878.799999997
2021-01-12,9840196.799999997
2021-01-13,9892734.199999988
2021-01-14,9867347.0
2021-01-15,9827995.200000003
2021-01-16,9854325.399999991
2021-01-17,10157356.399999991
2021-01-18,10171722.799999997
2021-01-19,10117000.100000009
2021-01-20,10016066.299999997
2021-01-21,9842558.399999991
2021-01-22,9697746.400000006
2021-01-23,9500544.599999994
2021-01-24,9352813.399999991
2021-01-25,9191913.0
2021-01-26,9026178.700000003
2021-01-27,8879378.200000003
2021-01-28,8722856.599999994
2021-01-29,8589918.200000003
2021-01-30,8443859.800000012
2021-01-31,8201484.200000003
2021-02-01,8063392.100000009
2021-02-02,7920962.200000003
2021-02-03,7819454.400000006
2021-02-04,7714387.799999997
2021-02-05,7557456.200000003
2021-02-06,7438064.200000003
2021-02-07,7107817.399999991
2021-02-08,6991812.0
2021-02-09,6903018.299999997
2021-02-10,6786525.0
2021-02-11,6660835.399999991
2021-02-12,6536302.0
2021-02-13,6425274.0
2021-02-14,6062153.400000006
2021-02-15,5952621.899999991
2021-02-16,5876866.200000003
2021-02-17,5789511.599999979
2021-02-18,5691160.799999997
2021-02-19,5620173.400000006
2021-02-20,5538107.800000012
2021-02-21,5350331.900000021
2021-02-22,5310557.799999982
2021-02-23,5282185.799999997
2021-02-24,5270386.0
2021-02-25,5278561.400000006
2021-02-26,5275970.199999988
2021-02-27,5276519.599999994
2021-02-28,5289811.799999997
2021-03-01,5313075.200000003
2021-03-02,5325850.799999982
2021-03-03,5349015.800000012
2021-03-04,5388638.200000018
2021-03-05,5434640.200000003
2021-03-06,5479363.0
2021-03-07,5559792.699999988
2021-03-08,5578681.400000021
2021-03-09,5636106.0
2021-03-10,5650997.200000003
2021-03-11,5675056.0
2021-03-12,5710627.600000009
2021-03-13,5749389.0
2021-03-14,5869010.599999994
2021-03-15,5906082.799999997
2021-03-16,5948993.400000021
2021-03-17,5988681.399999991
2021-03-18,6076068.799999982
2021-03-19,6160668.199999988
2021-03-20,6248916.599999994
2021-03-21,6477385.0
2021-03-22,6569003.599999994
2021-03-23,6609224.599999994
2021-03-24,6712880.799999997
2021-03-25,6825680.0
2021-03-26,6945924.799999997
2021-03-27,7063258.599999994
2021-03-28,7372841.399999991
2021-03-29,7492126.799999997
2021-03-30,7588640.799999982
2021-03-31,7684097.0
